items,title,genres,rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.5
2,Jumanji (1995),Adventure|Children|Fantasy,2.5
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,4.5
362,"Jungle Book, The (1994)",Adventure|Children|Romance,2
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,3.5
500,Mrs. Doubtfire (1993),Comedy|Drama,2
527,Schindler's List (1993),Drama|War,4
661,James and the Giant Peach (1996,Adventure|Animation|Children|Fantasy|Musical,1
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,3
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,2
1101,Top Gun (1986),Action|Romance,3
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,3.5
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,3
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981,Action|Adventure,3.5
1203,12 Angry Men (1957),Drama,3
1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,3.5
1207,To Kill a Mockingbird (1962),Drama,3
1208,Apocalypse Now (1979),Action|Drama|War,2
1210,Star Wars: Episode VI - Return of the Jedi (1983),Film-Noir|Mystery|Thriller,3.5
1213,Goodfellas (1990),Crime|Drama,4
1221,"Godfather: Part II, The (1974)",Crime|Drama,4
1222,Full Metal Jacket (1987),Drama|War,3.5
1227,Once Upon a Time in America (1984),Crime|Drama,2
1258,"Shining, The (1980)",Horror,4
1265,Groundhog Day (1993),Comedy|Fantasy|Romance,3.5
1592,Air Bud (1997),Children|Comedy,1
1653,Gattaca (1997),Drama|Sci-Fi|Thriller,3
1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,2
1704,Good Will Hunting (1997),Drama|Romance,4
1732,"Big Lebowski, The (1998)",Comedy|Crime,4.5
48516,"Departed, The (2006)",Crime|Drama|Thriller,5
48774,Children of Men (2006),Action|Adventure|Drama|Sci-Fi|Thriller,4.5
858,"Godfather, The (1972)",Crime|Drama,4
